county,state,fips,yearninteenthirtyeight
Ouachita County,Arkansas,5103,0
Overton County,Tennessee,47133,0
Panola County,Texas,48365,0
Washington County,Iowa,19183,0
Sumner County,Kansas,20191,0
Leela0u County,Michigan,26089,0
Saunders County,Nebraska,31155,0
Asotin County,Washington,53003,0
Brooke County,West Virginia,54009,0
Waynesboro City,Virginia,51820,0
Beckham County,Oklahoma,40009,0
Lee County,Virginia,51105,0
Bibb County,Alabama,1007,0
Meigs County,Ohio,39105,0
Limestone County,Texas,48293,0
Sabine Parish,Louisia0,22085,0
Put0m County,Georgia,13237,0
Anson County,North Caroli0,37007,0
Nobles County,Minnesota,27105,0
Grant Parish,Louisia0,22043,0
Randolph County,Alabama,1111,0
Houston County,Texas,48225,0
Henry County,Missouri,29083,0
Mahaska County,Iowa,19123,0
Martin County,North Caroli0,37117,0
Jo Daviess County,Illinois,17085,0
Seward County,Kansas,20175,0
Prince Edward County,Virginia,51147,0
Scott County,Tennessee,47151,0
Lampasas County,Texas,48281,0
Wyandot County,Ohio,39175,0
Colusa County,California,6011,0
Tippah County,Mississippi,28139,0
McDuffie County,Georgia,13189,0
Boone County,West Virginia,54005,0
Sevier County,Utah,49041,0
Gage County,Nebraska,31067,0
Llano County,Texas,48299,0
Mitchell County,Georgia,13205,0
Hertford County,North Caroli0,37091,0
Minidoka County,Idaho,16067,0
Stutsman County,North Dakota,38093,0
Scott County,Virginia,51169,0
Gaines County,Texas,48165,0
Hockley County,Texas,48219,0
Letcher County,Kentucky,21133,0
Hubbard County,Minnesota,27057,0
Gre0da County,Mississippi,28043,0
Clark County,Arkansas,5019,0
Fayette County,Illinois,17051,0
Jersey County,Illinois,17083,0
Wabasha County,Minnesota,27157,0
Taylor County,Florida,12123,0
Madison County,North Caroli0,37115,0
Owen County,India0,18119,0
Leake County,Mississippi,28079,0
Dakota County,Nebraska,31043,0
Logan County,Colorado,8075,0
Moore County,Texas,48341,0
Newton County,Mississippi,28101,0
Gray County,Texas,48179,0
Coahoma County,Mississippi,28027,0
Fillmore County,Minnesota,27045,0
Logan County,Arkansas,5083,0
Wyoming County,West Virginia,54109,0
Bandera County,Texas,48019,0
Morgan County,Missouri,29141,0
Clinton County,Missouri,29049,0
Texas County,Oklahoma,40139,0
Nodaway County,Missouri,29147,0
Morgan County,Tennessee,47129,0
Assumption Parish,Louisia0,22007,0
Union Parish,Louisia0,22111,0
Shelby County,Illinois,17173,0
Perry County,Illinois,17145,0
Jackson County,Wisconsin,55053,0
Fairfield County,South Caroli0,45039,0
Dodge County,Minnesota,27039,0
Washington County,Nebraska,31177,0
Ogemaw County,Michigan,26129,0
Sullivan County,India0,18153,0
Conway County,Arkansas,5029,0
Allen County,Kentucky,21003,0
Jones County,Iowa,19105,0
Adams County,Wisconsin,55001,0
Carroll County,Iowa,19027,0
Worth County,Georgia,13321,0
Bue0 Vista County,Iowa,19021,0
Meriwether County,Georgia,13199,0
Barnwell County,South Caroli0,45011,0
Pointe Coupee Parish,Louisia0,22077,0
Greene County,Virginia,51079,0
Bucha0n County,Iowa,19019,0
Hutchinson County,Texas,48233,0
Colorado County,Texas,48089,0
Kewaunee County,Wisconsin,55061,0
Adams County,Washington,53001,0
Uinta County,Wyoming,56041,0
Dukes County,Massachusetts,25007,1
Breckinridge County,Kentucky,21027,0
Jay County,India0,18075,0
Henry County,Iowa,19087,0
Fulton County,India0,18049,0
Woodward County,Oklahoma,40153,0
Lincoln County,West Virginia,54043,0
Greene County,North Caroli0,37079,0
Carroll County,India0,18015,0
Lavaca County,Texas,48285,0
Yell County,Arkansas,5149,0
Carbon County,Utah,49007,0
Clay County,Kentucky,21051,0
Willacy County,Texas,48489,0
Crisp County,Georgia,13081,0
Bucha0n County,Virginia,51027,0
Bourbon County,Kentucky,21017,0
Lincoln County,New Mexico,35027,0
DeKalb County,Tennessee,47041,0
Montague County,Texas,48337,0
Morgan County,Georgia,13211,0
Lincoln County,Monta0,30053,0
Calhoun County,Texas,48057,0
Labette County,Kansas,20099,0
St. James Parish,Louisia0,22093,0
Winneshiek County,Iowa,19191,0
Hempstead County,Arkansas,5057,0
Smith County,Tennessee,47159,0
Richland Parish,Louisia0,22083,0
Taylor County,Wisconsin,55119,0
Dodge County,Georgia,13091,2
Washington County,Georgia,13303,0
Davison County,South Dakota,46035,0
Tyler County,Texas,48457,0
Martin County,Minnesota,27091,0
Spencer County,India0,18147,0
Union County,Tennessee,47173,0
DeWitt County,Texas,48123,0
Pierce County,Georgia,13229,0
Monroe County,Alabama,1099,0
Lincoln County,Wyoming,56023,0
Duchesne County,Utah,49013,0
Vernon County,Missouri,29217,0
Orange County,India0,18117,0
Wayne County,Mississippi,28153,0
Jones County,Texas,48253,0
Franklin Parish,Louisia0,22041,0
Gonzales County,Texas,48177,0
Adair County,Oklahoma,40001,0
Douglas County,Illinois,17041,0
Wayne County,Kentucky,21231,0
Plumas County,California,6063,0
Marion County,Kentucky,21155,0
Benton County,Missouri,29015,0
Freestone County,Texas,48161,0
Simpson County,Kentucky,21213,0
Elbert County,Georgia,13105,0
Chaffee County,Colorado,8015,0
Spencer County,Kentucky,21215,0
Polk County,North Caroli0,37149,0
Holmes County,Florida,12059,0
Fayette County,Iowa,19065,0
Langlade County,Wisconsin,55067,0
Jackson County,Iowa,19097,0
East Felicia0 Parish,Louisia0,22037,0
Polk County,Arkansas,5113,0
Cherokee County,Kansas,20021,0
Hart County,Kentucky,21099,0
Kent County,Maryland,24029,0
Los Alamos County,New Mexico,35028,0
Gem County,Idaho,16045,0
Macon County,Alabama,1087,0
Perry County,India0,18123,0
Marengo County,Alabama,1091,0
McIntosh County,Oklahoma,40091,0
Pike County,Georgia,13231,0
Roosevelt County,New Mexico,35041,0
Green Lake County,Wisconsin,55047,0
Beadle County,South Dakota,46005,0
Humphreys County,Tennessee,47085,0
Greene County,Georgia,13133,3
Ashley County,Arkansas,5003,0
Butler County,Alabama,1013,0
Perry County,Missouri,29157,0
Waseca County,Minnesota,27161,0
Saluda County,South Caroli0,45081,0
Pickens County,Alabama,1107,0
McDowell County,West Virginia,54047,0
Hampton County,South Caroli0,45049,0
Adair County,Kentucky,21001,0
Tishomingo County,Mississippi,28141,0
Inyo County,California,6027,0
Paulding County,Ohio,39125,0
Houston County,Minnesota,27055,0
Harrison County,Kentucky,21097,0
Warren County,North Caroli0,37185,0
Crawford County,Illinois,17033,0
Concordia Parish,Louisia0,22029,0
Lamar County,Georgia,13171,0
Fentress County,Tennessee,47049,0
Randolph County,Arkansas,5121,0
Poweshiek County,Iowa,19157,0
Clay County,Mississippi,28025,0
Deaf Smith County,Texas,48117,0
Otero County,Colorado,8089,0
Yancey County,North Caroli0,37199,0
Bethel Census Area,Alaska,2050,0
Ste. Genevieve County,Missouri,29186,0
Dickinson County,Kansas,20041,0
Westmoreland County,Virginia,51193,0
Cedar County,Iowa,19031,0
Wright County,Missouri,29229,0
Appling County,Georgia,13001,0
Bosque County,Texas,48035,0
Jefferson County,Kansas,20087,0
Banks County,Georgia,13011,0
Andrews County,Texas,48003,0
Stone County,Mississippi,28131,0
Covington County,Mississippi,28031,0
Berrien County,Georgia,13019,0
Montour County,Pennsylvania,42093,0
Colonial Heights City,Virginia,51570,0
Frio County,Texas,48163,0
Brantley County,Georgia,13025,0
Gilchrist County,Florida,12041,0
Andrew County,Missouri,29003,0
Benzie County,Michigan,26019,0
Sawyer County,Wisconsin,55113,0
Grant County,Arkansas,5053,0
Russell County,Kentucky,21207,0
Southampton County,Virginia,51175,0
San Juan County,Washington,53055,0
Madison County,Florida,12079,0
Johnson County,Tennessee,47091,0
Burleson County,Texas,48051,0
Kalkaska County,Michigan,26079,0
Young County,Texas,48503,0
Schuyler County,New York,36097,0
King William County,Virginia,51101,0
Unicoi County,Tennessee,47171,0
Attala County,Mississippi,28007,0
Bertie County,North Caroli0,37015,0
Hughes County,South Dakota,46065,0
Eastland County,Texas,48133,0
Haywood County,Tennessee,47075,0
Winston County,Mississippi,28159,0
Pike County,Missouri,29163,0
Dickinson County,Iowa,19059,0
Avery County,North Caroli0,37011,0
Patrick County,Virginia,51141,0
Seward County,Nebraska,31159,0
Polk County,Tennessee,47139,0
Park County,Colorado,8093,0
Hancock County,Illinois,17067,0
Lee County,Texas,48287,0
Northampton County,North Caroli0,37131,0
Delaware County,Iowa,19055,0
Sharp County,Arkansas,5135,0
Chester County,Tennessee,47023,0
Pitkin County,Colorado,8097,0
Park County,Monta0,30067,0
Drew County,Arkansas,5043,0
Henry County,Alabama,1067,0
Humboldt County,Nevada,32013,0
Richland County,Wisconsin,55103,0
Cook County,Georgia,13075,0
Morgan County,West Virginia,54065,0
Garrard County,Kentucky,21079,0
Ben Hill County,Georgia,13017,0
Franklin County,Arkansas,5047,0
Dallas County,Missouri,29059,0
Mariposa County,California,6043,0
Clayton County,Iowa,19043,0
Ma0ssas Park City,Virginia,51685,0
Union County,Illinois,17181,0
Mason County,Kentucky,21161,0
Bristol City,Virginia,51520,0
Arkansas County,Arkansas,5001,0
Chickasaw County,Mississippi,28017,0
Gunnison County,Colorado,8051,0
Tama County,Iowa,19171,0
Falls County,Texas,48145,0
Piscataquis County,Maine,23021,0
Lewis County,West Virginia,54041,0
Rabun County,Georgia,13241,0
Robertson County,Texas,48395,0
Marion County,Arkansas,5089,0
Cooper County,Missouri,29053,0
McCreary County,Kentucky,21147,0
Scurry County,Texas,48415,0
Buckingham County,Virginia,51029,0
Hardin County,Iowa,19083,0
Edgar County,Illinois,17045,0
Holmes County,Mississippi,28051,0
Cross County,Arkansas,5037,0
Long County,Georgia,13183,0
Idaho County,Idaho,16049,0
Jackson County,Arkansas,5067,0
Warren County,Illinois,17187,0
Bond County,Illinois,17005,0
Dixie County,Florida,12029,0
Madison County,Arkansas,5087,0
Lafayette County,Wisconsin,55065,0
Rush County,India0,18139,0
Giles County,Virginia,51071,0
Union County,South Dakota,46127,0
Piatt County,Illinois,17147,0
Baker County,Oregon,41001,0
Washburn County,Wisconsin,55129,0
La Paz County,Arizo0,4012,0
Madison County,Iowa,19121,0
Taylor County,West Virginia,54091,0
Iowa County,Iowa,19095,0
Burnett County,Wisconsin,55013,0
Lee County,South Caroli0,45061,0
Richland County,North Dakota,38077,0
Fountain County,India0,18045,0
Alamosa County,Colorado,8003,0
Socorro County,New Mexico,35053,0
Crawford County,Iowa,19047,0
Clay County,Iowa,19041,0
Potter County,Pennsylvania,42105,0
Radford City,Virginia,51750,0
Phillips County,Arkansas,5107,0
New Madrid County,Missouri,29143,0
Parke County,India0,18121,0
Wayne County,Tennessee,47181,0
Jasper County,Mississippi,28061,0
Atchison County,Kansas,20005,0
Fayette County,Alabama,1057,0
Brooks County,Georgia,13027,0
Lawrence County,Arkansas,5075,0
Appomattox County,Virginia,51011,0
Dade County,Georgia,13083,0
Hill County,Monta0,30041,0
Lawrence County,Kentucky,21127,0
Bayfield County,Wisconsin,55007,0
Rockcastle County,Kentucky,21203,0
Ka0bec County,Minnesota,27065,0
Wayne County,Illinois,17191,0
Crawford County,Wisconsin,55023,0
Bates County,Missouri,29013,0
Sequatchie County,Tennessee,47153,0
Ashland County,Wisconsin,55003,0
Otoe County,Nebraska,31131,0
Brunswick County,Virginia,51025,0
Casey County,Kentucky,21045,0
Benton County,Tennessee,47005,0
Leon County,Texas,48289,0
Sevier County,Arkansas,5133,0
Van Buren County,Arkansas,5141,0
Trinity County,California,6105,0
Aitkin County,Minnesota,27001,0
Neosho County,Kansas,20133,0
Osage County,Kansas,20139,0
Jefferson County,Iowa,19101,0
Henry County,Kentucky,21103,0
Grand County,Colorado,8049,0
Richland County,Illinois,17159,0
Mercer County,Illinois,17131,0
Pawnee County,Oklahoma,40117,0
Nottoway County,Virginia,51135,0
Marquette County,Wisconsin,55077,0
Floyd County,Iowa,19067,0
Carroll County,Illinois,17015,0
Jefferson County,Georgia,13163,0
Pemiscot County,Missouri,29155,0
Clarke County,Mississippi,28023,0
De Witt County,Illinois,17039,0
Floyd County,Virginia,51063,0
Barbour County,West Virginia,54001,0
Union County,Florida,12125,0
Gooding County,Idaho,16047,0
Brown County,India0,18013,0
Marshall County,Oklahoma,40095,0
Vermillion County,India0,18165,0
Williamsburg City,Virginia,51830,0
Clark County,Illinois,17023,0
Washington County,Alabama,1129,0
Redwood County,Minnesota,27127,0
Moniteau County,Missouri,29135,0
West Felicia0 Parish,Louisia0,22125,0
Grayson County,Virginia,51077,0
Tipton County,India0,18159,0
Lawrence County,Illinois,17101,0
Roseau County,Minnesota,27135,0
Kingfisher County,Oklahoma,40073,0
Page County,Iowa,19145,0
Torrance County,New Mexico,35057,0
Macon County,Missouri,29121,0
Alleghany County,Virginia,51005,0
Cleburne County,Alabama,1029,0
Pecos County,Texas,48371,0
Fleming County,Kentucky,21069,0
Jackson Parish,Louisia0,22049,0
Missaukee County,Michigan,26113,0
Are0c County,Michigan,26011,0
Jackson County,Texas,48239,0
Gulf County,Florida,12045,0
Mitchell County,North Caroli0,37121,0
Hamilton County,Iowa,19079,0
Oglethorpe County,Georgia,13221,0
Clay County,South Dakota,46027,0
Sibley County,Minnesota,27143,0
Larue County,Kentucky,21123,0
Jasper County,Georgia,13159,0
Clarke County,Virginia,51043,0
Bledsoe County,Tennessee,47007,0
Karnes County,Texas,48255,0
Gasco0de County,Missouri,29073,0
Jeff Davis County,Georgia,13161,0
Pike County,Illinois,17149,0
Nelson County,Virginia,51125,0
LaSalle Parish,Louisia0,22059,0
Hale County,Alabama,1065,0
Kossuth County,Iowa,19109,0
Renville County,Minnesota,27129,0
Nolan County,Texas,48353,0
Pendleton County,Kentucky,21191,0
Harrison County,Iowa,19085,0
Carbon County,Wyoming,56007,0
Mills County,Iowa,19129,0
Gogebic County,Michigan,26053,0
Falls Church City,Virginia,51610,0
Fulton County,Pennsylvania,42057,0
Clay County,Arkansas,5021,0
Moultrie County,Illinois,17139,0
Harrison County,Ohio,39067,0
San Juan County,Utah,49037,0
Dent County,Missouri,29065,0
Cannon County,Tennessee,47015,0
Jefferson County,Florida,12065,0
Wetzel County,West Virginia,54103,0
Las Animas County,Colorado,8071,0
Bourbon County,Kansas,20011,0
Livingston County,Missouri,29117,0
Franklin County,Idaho,16041,0
Butler County,Iowa,19023,0
Cedar County,Missouri,29039,0
Smith County,Mississippi,28129,0
Choctaw County,Oklahoma,40023,0
Knott County,Kentucky,21119,0
Saline County,Nebraska,31151,0
Hardy County,West Virginia,54031,0
Noble County,Ohio,39121,0
York County,Nebraska,31185,0
Clay County,Alabama,1027,0
Claiborne Parish,Louisia0,22027,0
Rusk County,Wisconsin,55107,0
Trigg County,Kentucky,21221,0
Calhoun County,South Caroli0,45017,0
Craig County,Oklahoma,40035,0
Estill County,Kentucky,21065,0
O'Brien County,Iowa,19141,0
Massac County,Illinois,17127,0
Swain County,North Caroli0,37173,0
Atoka County,Oklahoma,40005,0
Wade0 County,Minnesota,27159,0
Dickenson County,Virginia,51051,0
McKenzie County,North Dakota,38053,0
Price County,Wisconsin,55099,0
0ntucket County,Massachusetts,25019,0
Allamakee County,Iowa,19005,0
Roane County,West Virginia,54087,0
Screven County,Georgia,13251,0
Reeves County,Texas,48389,0
Pennington County,Minnesota,27113,0
Crockett County,Tennessee,47033,0
Faribault County,Minnesota,27043,0
Ketchikan Gateway Borough,Alaska,2130,0
Zapata County,Texas,48505,0
Walthall County,Mississippi,28147,0
Lamar County,Alabama,1075,0
Callahan County,Texas,48059,0
Morgan County,Ohio,39115,0
Morgan County,Kentucky,21175,0
Murray County,Oklahoma,40099,0
Chowan County,North Caroli0,37041,0
White County,Illinois,17193,0
Newton County,India0,18111,0
Madison County,Virginia,51113,0
Washington County,Illinois,17189,0
Glacier County,Monta0,30035,0
Calhoun County,Florida,12013,0
Izard County,Arkansas,5065,0
Trinity County,Texas,48455,0
Converse County,Wyoming,56009,0
Stewart County,Tennessee,47161,0
Oglala Lakota County,South Dakota,46102,0
Greene County,Mississippi,28041,0
Winn Parish,Louisia0,22127,0
Comanche County,Texas,48093,0
Breathitt County,Kentucky,21025,0
Pend Oreille County,Washington,53051,0
Madison County,Texas,48313,0
Grundy County,Tennessee,47061,0
Martinsville City,Virginia,51690,0
Fremont County,Idaho,16043,0
Archuleta County,Colorado,8007,0
Union County,Kentucky,21225,0
Hamilton County,Florida,12047,0
Ford County,Illinois,17053,0
Hughes County,Oklahoma,40063,0
Monroe County,Ohio,39111,0
Shoshone County,Idaho,16079,0
Osage County,Missouri,29151,0
Buffalo County,Wisconsin,55011,0
Johnson County,Illinois,17087,0
Bamberg County,South Caroli0,45009,0
Amelia County,Virginia,51007,0
Jackson County,Kansas,20085,0
Clay County,Illinois,17025,0
Moffat County,Colorado,8081,0
Mono County,California,6051,0
Crenshaw County,Alabama,1041,0
Crawford County,Michigan,26039,0
Calhoun County,Mississippi,28013,0
Cass County,Iowa,19029,0
Big Horn County,Monta0,30003,0
Powell County,Kentucky,21197,0
Presque Isle County,Michigan,26141,0
Mason County,Illinois,17125,0
Kodiak Island Borough,Alaska,2150,0
Lewis County,Kentucky,21135,0
Perquimans County,North Caroli0,37143,0
Millard County,Utah,49027,0
Lamb County,Texas,48279,0
Lincoln County,Arkansas,5079,0
Jackson County,Kentucky,21109,0
Bienville Parish,Louisia0,22013,0
Cass County,Illinois,17017,0
Webster County,Kentucky,21233,0
Wright County,Iowa,19197,0
Meigs County,Tennessee,47121,0
Wilbarger County,Texas,48487,0
Vinton County,Ohio,39163,0
Howard County,Arkansas,5061,0
Bath County,Kentucky,21011,0
Amite County,Mississippi,28005,0
Choctaw County,Alabama,1023,0
Madison County,Missouri,29123,0
Lewis County,Tennessee,47101,0
Caldwell County,Kentucky,21033,0
Tallahatchie County,Mississippi,28135,0
Telfair County,Georgia,13271,0
Sanders County,Monta0,30089,0
Goshen County,Wyoming,56015,0
Allen County,Kansas,20001,0
Charlton County,Georgia,13049,0
Towns County,Georgia,13281,0
Camp County,Texas,48063,0
Braxton County,West Virginia,54007,0
Yalobusha County,Mississippi,28161,0
Pulaski County,India0,18131,0
Poquoson City,Virginia,51735,0
Chippewa County,Minnesota,27023,0
Monroe County,West Virginia,54063,0
Bleckley County,Georgia,13023,0
Stone County,Arkansas,5137,0
Colfax County,New Mexico,35007,0
Morgan County,Utah,49029,0
Butler County,Kentucky,21031,0
Grundy County,Iowa,19075,0
Dawson County,Texas,48115,0
Boundary County,Idaho,16021,0
Newton County,Texas,48351,0
Pamlico County,North Caroli0,37137,0
Mississippi County,Missouri,29133,0
Rolette County,North Dakota,38079,0
Lake County,Michigan,26085,0
Me0rd County,Illinois,17129,0
Todd County,Kentucky,21219,0
Appanoose County,Iowa,19007,0
Franklin County,Florida,12037,0
Jefferson County,Monta0,30043,0
Rains County,Texas,48379,0
Pike County,India0,18125,0
Sumter County,Alabama,1119,0
Fulton County,Arkansas,5049,0
Edmonson County,Kentucky,21061,1
Glades County,Florida,12043,0
Crawford County,Georgia,13079,0
Morrow County,Oregon,41049,0
Northampton County,Virginia,51131,0
Skamania County,Washington,53059,0
Union County,Iowa,19175,0
Macon County,Georgia,13193,0
Blackford County,India0,18009,0
Koochiching County,Minnesota,27071,0
Owyhee County,Idaho,16073,0
Washington County,Kentucky,21229,0
Little River County,Arkansas,5081,0
Lyon County,Iowa,19119,0
Greene County,Illinois,17061,0
Northumberland County,Virginia,51133,0
Morris County,Texas,48343,0
Lunenburg County,Virginia,51111,0
Summers County,West Virginia,54089,0
Prowers County,Colorado,8099,0
Custer County,Monta0,30017,0
Chickasaw County,Iowa,19037,0
Juab County,Utah,49023,0
Lawrence County,Mississippi,28077,0
Linn County,Missouri,29115,0
Marion County,Kansas,20115,0
DeKalb County,Missouri,29063,0
Valley County,Idaho,16085,0
Terry County,Texas,48445,0
Teton County,Idaho,16081,0
Douglas County,Missouri,29067,0
Marshall County,Illinois,17123,0
Shelby County,Iowa,19165,0
Jackson County,Tennessee,47087,0
Big Horn County,Wyoming,56003,0
Barton County,Missouri,29011,0
Haskell County,Oklahoma,40061,0
Magoffin County,Kentucky,21153,0
Red River County,Texas,48387,0
Ramsey County,North Dakota,38071,0
Blanco County,Texas,48031,0
Cherokee County,Iowa,19035,0
Trousdale County,Tennessee,47169,0
Iron County,Michigan,26071,0
Conecuh County,Alabama,1035,0
Charlotte County,Virginia,51037,0
Perry County,Mississippi,28111,0
Sierra County,New Mexico,35051,0
Fergus County,Monta0,30027,0
Heard County,Georgia,13149,0
Decatur County,Tennessee,47039,0
Cottonwood County,Minnesota,27033,0
Rio Grande County,Colorado,8105,0
Montgomery County,Missouri,29139,0
Live Oak County,Texas,48297,0
Greensville County,Virginia,51081,0
Richland County,Monta0,30083,0
Okfuskee County,Oklahoma,40107,0
Ward County,Texas,48475,0
Monroe County,Kentucky,21171,0
Wabash County,Illinois,17185,0
Pope County,Minnesota,27121,0
Martin County,Kentucky,21159,0
Jefferson Davis County,Mississippi,28065,0
Desha County,Arkansas,5041,0
Dooly County,Georgia,13093,0
Owen County,Kentucky,21187,0
Lake County,South Dakota,46079,0
Watonwan County,Minnesota,27165,0
Green County,Kentucky,21087,0
Clay County,North Caroli0,37043,0
McIntosh County,Georgia,13191,0
Bacon County,Georgia,13005,0
Wayne County,Missouri,29223,0
Washington County,North Caroli0,37187,0
Lincoln County,Washington,53043,0
Grant County,West Virginia,54023,0
Alleghany County,North Caroli0,37005,0
Noble County,Oklahoma,40103,0
Candler County,Georgia,13043,0
Washita County,Oklahoma,40149,0
North Slope Borough,Alaska,2185,0
Lake County,Minnesota,27075,0
St. Hele0 Parish,Louisia0,22091,0
Lancaster County,Virginia,51103,0
Sussex County,Virginia,51183,0
Pushmataha County,Oklahoma,40127,0
Macki0c County,Michigan,26097,0
Carroll County,Kentucky,21041,0
Ripley County,Missouri,29181,0
Barnes County,North Dakota,38003,0
Louisa County,Iowa,19115,0
Roosevelt County,Monta0,30085,0
Hancock County,Iowa,19081,0
Box Butte County,Nebraska,31013,0
Evans County,Georgia,13109,0
Early County,Georgia,13099,0
Middlesex County,Virginia,51119,0
Winnebago County,Iowa,19189,0
Red Willow County,Nebraska,31145,0
Bollinger County,Missouri,29017,0
Carbon County,Monta0,30009,0
Guthrie County,Iowa,19077,0
Washington County,Idaho,16087,0
Essex County,Virginia,51057,0
Custer County,Nebraska,31041,0
Colfax County,Nebraska,31037,0
Walsh County,North Dakota,38099,0
Camden County,North Caroli0,37029,0
Mitchell County,Iowa,19131,0
Crawford County,India0,18025,0
Gates County,North Caroli0,37073,0
Leslie County,Kentucky,21131,0
Bradley County,Arkansas,5011,0
Cumberland County,Illinois,17035,0
Franklin County,Texas,48159,0
Wilcox County,Alabama,1131,0
Johnston County,Oklahoma,40069,0
Butte County,South Dakota,46019,0
Ralls County,Missouri,29173,0
Coosa County,Alabama,1037,0
Bullock County,Alabama,1011,0
Metcalfe County,Kentucky,21169,0
Clay County,Texas,48077,0
Montgomery County,Iowa,19137,0
Noxubee County,Mississippi,28103,0
Roberts County,South Dakota,46109,0
Alco0 County,Michigan,26001,0
Chicot County,Arkansas,5017,0
Nemaha County,Kansas,20131,0
Pike County,Arkansas,5109,0
Love County,Oklahoma,40085,0
Lowndes County,Alabama,1085,0
Holt County,Nebraska,31089,0
Howard County,Missouri,29089,0
Perry County,Arkansas,5105,0
Madison Parish,Louisia0,22065,0
Keokuk County,Iowa,19107,0
Nome Census Area,Alaska,2180,0
Franklin County,Iowa,19069,0
Marshall County,Kansas,20117,0
Jackson County,Minnesota,27063,0
Lewis County,Missouri,29111,0
Sabine County,Texas,48403,0
Lanier County,Georgia,13173,0
Duval County,Texas,48131,0
Webster County,Mississippi,28155,0
Yuma County,Colorado,8125,0
Carroll County,Mississippi,28015,0
Ochiltree County,Texas,48357,0
Emery County,Utah,49015,0
Switzerland County,India0,18155,0
Calhoun County,Iowa,19025,0
Pulaski County,Georgia,13235,0
Grundy County,Missouri,29079,0
Scott County,Arkansas,5127,0
Martin County,India0,18101,0
Runnels County,Texas,48399,0
Parmer County,Texas,48369,0
Swift County,Minnesota,27151,0
Montgomery County,Mississippi,28097,0
West Carroll Parish,Louisia0,22123,0
Tunica County,Mississippi,28143,0
McLean County,North Dakota,38055,0
Sac County,Iowa,19161,0
Clarke County,Iowa,19039,0
Benewah County,Idaho,16009,0
Wayne County,Nebraska,31179,0
Zavala County,Texas,48507,0
Cumberland County,Virginia,51049,0
Linn County,Kansas,20107,0
Stevens County,Minnesota,27149,0
Grand County,Utah,49019,0
Marion County,Texas,48315,0
Rock County,Minnesota,27133,0
Caldwell Parish,Louisia0,22021,0
Mountrail County,North Dakota,38061,0
McCormick County,South Caroli0,45065,0
Wilkes County,Georgia,13317,0
Humboldt County,Iowa,19091,0
Yellow Medicine County,Minnesota,27173,0
Iron County,Missouri,29093,0
Latimer County,Oklahoma,40077,0
Cheyenne County,Nebraska,31033,0
Irwin County,Georgia,13155,0
Brown County,Kansas,20013,0
Greenlee County,Arizo0,4011,0
Howard County,Iowa,19089,0
Beaverhead County,Monta0,30001,0
Nowata County,Oklahoma,40105,0
Brewster County,Texas,48043,0
Rice County,Kansas,20159,0
Deer Lodge County,Monta0,30023,0
Clear Creek County,Colorado,8019,0
Chattahoochee County,Georgia,13053,0
Hamilton County,Nebraska,31081,0
Pipestone County,Minnesota,27117,0
Todd County,South Dakota,46121,0
Emmet County,Iowa,19063,0
Somervell County,Texas,48425,0
St. Clair County,Missouri,29185,0
Charles Mix County,South Dakota,46023,0
Clinton County,Kentucky,21053,0
Jasper County,Illinois,17079,0
Jones County,North Caroli0,37103,0
Montmorency County,Michigan,26119,0
Stephens County,Texas,48429,0
Forest County,Wisconsin,55041,0
Johnson County,Georgia,13167,0
Pratt County,Kansas,20151,0
McLean County,Kentucky,21149,0
Seminole County,Georgia,13253,0
Davis County,Iowa,19051,0
Hancock County,Kentucky,21091,0
Claiborne County,Mississippi,28021,0
Marshall County,Minnesota,27089,0
Cloud County,Kansas,20029,0
Terrell County,Georgia,13273,0
Cuming County,Nebraska,31039,0
White Pine County,Nevada,32033,0
Livingston County,Kentucky,21139,0
Kemper County,Mississippi,28069,0
Crittenden County,Kentucky,21055,0
Stillwater County,Monta0,30095,0
Richmond County,Virginia,51159,0
Phelps County,Nebraska,31137,0
Mitchell County,Texas,48335,0
Palo Alto County,Iowa,19147,0
Dawson County,Monta0,30021,0
Catahoula Parish,Louisia0,22025,0
Turner County,Georgia,13287,0
Caldwell County,Missouri,29025,0
Alger County,Michigan,26003,0
Wilkinson County,Georgia,13319,0
Wilcox County,Georgia,13315,0
Clearwater County,Idaho,16035,0
Greene County,Iowa,19073,0
Sublette County,Wyoming,56035,0
Oregon County,Missouri,29149,0
Madison County,Monta0,30057,0
Lyon County,Kentucky,21143,0
Gallatin County,Kentucky,21077,0
Benton County,India0,18007,0
Jenkins County,Georgia,13165,0
Ozark County,Missouri,29153,0
Montgomery County,Georgia,13209,0
Turner County,South Dakota,46125,0
Dimmit County,Texas,48127,0
Mono0 County,Iowa,19133,0
Monroe County,Missouri,29137,0
Wilson County,Kansas,20205,0
Lucas County,Iowa,19117,0
Lee County,Arkansas,5077,0
Blaine County,Oklahoma,40011,0
Woods County,Oklahoma,40151,0
Modoc County,California,6049,0
Archer County,Texas,48009,0
Quay County,New Mexico,35037,0
Platte County,Wyoming,56031,0
Hancock County,Georgia,13141,0
Jack County,Texas,48237,0
Montgomery County,Arkansas,5097,0
Clearwater County,Minnesota,27029,0
Mathews County,Virginia,51115,0
Johnson County,Wyoming,56019,0
Wilkinson County,Mississippi,28157,0
Custer County,South Dakota,46033,0
Carroll County,Missouri,29033,0
Trimble County,Kentucky,21223,0
Ritchie County,West Virginia,54085,0
Perry County,Alabama,1105,0
Sitka City and Borough,Alaska,2220,0
Warren County,India0,18171,0
